date,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,ozone,dust,uv_index,temperature_2m_mean,precipitation_sum,windspeed_10m_max,relative_humidity_2m_mean,cough,asthma
2022-08-04,14.88421052631579,21.226315789473684,380.1578947368421,14.226315789473684,82.47368421052632,0.0,1.5473684210526317,22.6,4.5,5.0,89,44.0,11.0
2022-08-05,18.166666666666668,25.933333333333334,387.9166666666667,13.729166666666666,82.66666666666667,0.0,1.9041666666666668,22.9,19.3,6.8,87,44.0,11.0
2022-08-06,20.337500000000002,29.05,391.1666666666667,13.262500000000001,77.25,0.0,1.2041666666666666,23.0,20.3,6.9,87,44.0,11.0
2022-08-07,19.170833333333334,27.441666666666666,463.9583333333333,21.091666666666665,64.29166666666667,0.0,2.2958333333333334,22.8,25.9,7.0,88,44.0,11.0
2022-08-08,19.866666666666667,28.416666666666668,524.0833333333334,23.59583333333333,67.70833333333333,0.0,1.7104166666666665,22.9,7.5,6.6,88,44.0,11.0
2022-08-09,17.758333333333333,25.3875,491.5416666666667,20.470833333333335,73.125,0.0,1.75,23.8,15.7,5.8,85,44.0,11.0
2022-08-10,15.104166666666666,21.616666666666664,505.2083333333333,23.695833333333336,61.666666666666664,0.0,1.4166666666666667,23.3,31.6,6.8,87,44.0,11.0
2022-08-11,13.791666666666666,19.775000000000002,466.2916666666667,20.6875,64.16666666666667,0.0,2.1458333333333335,23.2,19.1,6.4,85,44.0,11.0
2022-08-12,16.45,23.570833333333336,451.5416666666667,20.979166666666668,64.08333333333333,0.0,2.21875,22.9,2.6,5.9,86,44.0,11.0
2022-08-13,23.329166666666666,33.425000000000004,488.5416666666667,21.400000000000002,68.25,0.0,1.6541666666666668,23.3,13.8,7.2,87,44.0,11.0
2022-08-14,19.270833333333332,27.583333333333332,449.375,18.1125,67.83333333333333,0.0,1.5854166666666665,22.3,16.1,6.6,90,34.0,11.0
2022-08-15,11.295833333333334,16.25,334.2916666666667,13.737499999999999,57.458333333333336,0.0,1.4729166666666667,22.5,8.2,14.3,87,34.0,11.0
2022-08-16,15.754166666666668,22.854166666666668,314.7916666666667,12.845833333333333,73.08333333333333,0.0,2.347916666666667,22.2,5.2,7.0,89,34.0,11.0
2022-08-17,24.5125,35.11666666666667,478.6666666666667,19.8625,73.5,0.0,1.5270833333333333,22.3,1.5,9.2,90,34.0,11.0
2022-08-18,19.345833333333335,27.666666666666668,391.5416666666667,14.058333333333332,79.5,0.0,1.9541666666666666,22.9,5.2,7.3,88,34.0,11.0
2022-08-19,17.479166666666668,25.041666666666668,390.5,14.529166666666667,77.33333333333333,0.0,1.2166666666666666,22.4,41.4,7.7,90,34.0,11.0
2022-08-20,16.616666666666667,23.816666666666666,472.0416666666667,21.125,62.791666666666664,0.0,1.5645833333333332,22.3,25.5,5.7,87,34.0,11.0
2022-08-21,11.195833333333333,16.216666666666665,306.3333333333333,13.133333333333333,65.5,0.0,1.8583333333333332,22.5,2.1,8.3,86,34.0,12.0
2022-08-22,17.116666666666667,24.84166666666667,399.375,17.75,65.0,0.0,2.2312499999999997,22.6,1.8,6.8,86,34.0,12.0
2022-08-23,21.175,30.570833333333336,495.875,22.2375,62.5,0.0,1.8499999999999999,22.5,18.0,6.5,88,34.0,12.0
2022-08-24,25.541666666666668,36.625,562.0833333333334,23.77916666666667,67.54166666666667,0.125,1.7479166666666668,22.6,17.5,5.6,88,34.0,12.0
2022-08-25,18.5125,26.479166666666668,439.7083333333333,16.770833333333332,72.0,0.0,1.0708333333333333,22.9,3.5,9.3,87,34.0,12.0
2022-08-26,20.770833333333332,29.729166666666668,381.7916666666667,10.920833333333334,96.125,0.0,1.3854166666666667,22.6,8.0,7.3,90,34.0,12.0
2022-08-27,30.6875,43.875,494.8333333333333,12.829166666666666,96.54166666666667,0.0,1.4104166666666667,22.1,11.6,7.2,92,34.0,12.0
2022-08-28,14.458333333333334,20.650000000000002,457.5416666666667,11.0875,103.91666666666667,0.0,0.5583333333333333,21.2,23.0,8.4,94,29.0,10.0
2022-08-29,18.729166666666668,26.745833333333334,467.4583333333333,13.570833333333333,91.33333333333333,0.0,0.5583333333333333,21.9,10.4,6.4,91,29.0,10.0
2022-08-30,21.441666666666666,30.6125,467.125,12.670833333333334,92.91666666666667,0.0,1.2395833333333333,22.1,2.9,9.4,90,29.0,10.0
2022-08-31,24.604166666666668,35.19166666666667,517.875,15.358333333333334,86.125,0.20833333333333334,0.8937499999999999,21.6,10.4,5.5,92,29.0,10.0
2022-09-01,24.866666666666664,35.50833333333333,547.625,16.666666666666668,85.29166666666667,0.125,0.5791666666666667,21.3,57.7,6.2,93,29.0,10.0
2022-09-02,23.3125,33.35,497.2083333333333,11.299999999999999,97.29166666666667,0.375,0.8333333333333334,21.5,3.5,9.4,93,29.0,10.0
2022-09-03,22.125,31.6375,490.9583333333333,11.066666666666668,103.54166666666667,0.4583333333333333,0.6229166666666667,22.2,10.3,9.0,89,29.0,10.0
2022-09-04,22.65416666666667,32.67916666666667,453.2083333333333,11.0875,110.41666666666667,1.375,0.65,22.0,4.4,6.7,90,35.0,12.0
2022-09-05,21.599999999999998,31.0125,468.125,13.345833333333333,101.04166666666667,0.625,0.6270833333333333,22.0,9.4,8.3,90,35.0,12.0
2022-09-06,23.083333333333332,33.229166666666664,454.5,12.674999999999999,101.45833333333333,1.0,0.9354166666666667,22.2,7.0,5.8,89,35.0,12.0
2022-09-07,22.6125,32.3375,538.75,19.316666666666666,85.875,0.5,0.9562499999999999,21.6,8.9,6.5,90,35.0,12.0
2022-09-08,26.2625,37.59583333333333,616.4583333333334,25.21666666666667,76.5,0.4583333333333333,1.6583333333333332,21.4,13.6,4.9,90,35.0,12.0
2022-09-09,23.4375,33.545833333333334,573.4166666666666,25.204166666666666,61.625,0.0,1.48125,21.2,18.2,6.6,90,35.0,12.0
2022-09-10,19.8875,28.454166666666666,505.75,21.454166666666666,67.25,0.0,1.9333333333333333,21.2,22.5,6.6,89,35.0,12.0
